"Bezeichnung (singular)","Bezeichnung (plural)","Version","Beschreibung","Daten-Profil Typ","Tabellen-Name","Reihenfolge","Symbol","Reorgzeiten konfigurieren","API-Name","Eltern Daten-Profil","Erstellt am","Erstellt von","Geändert am","Geändert von"
"Klasse (Auftrag)","Klassen (Auftrag)","","","Stammdaten","order_class","8","dvr","Nein","order-class","Basiskonfiguration","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Klasse (Auftragswelle)","Klassen (Auftragswelle)","","","Stammdaten","order_wave_class","9","mdi-waves","Nein","order-wave-class","Basiskonfiguration","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Klasse (Fracht)","Klassen (Fracht)","","","Stammdaten","freight_class","10","mdi-plane-train","Nein","freight-class","Basiskonfiguration","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Klasse (HU)","Klassen (HU)","","","Stammdaten","handling_unit_class","11","mdi-package-variant-closed","Nein","handling-unit-class","Basiskonfiguration","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Klasse (Identifikator)","Klasse (Identifikatoren)","","","Stammdaten","identifications","","build","Nein","identifications","Basiskonfiguration","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Klasse (Platz)","Klassen (Platz)","","","Stammdaten","storage_location_class","12","mdi-map-marker-circle","Nein","storage-location-class","Basiskonfiguration","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Klasse (Ressource)","Klassen (Ressource)","","","Stammdaten","resource_class","13","mdi-table-furniture","Nein","resource-class","Basiskonfiguration","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Klasse (VAS)","Klassen (VAS)","","","Stammdaten","vas_class","14","mdi-shape-plus","Nein","vas-class","Basiskonfiguration","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Klasse (Vorgang)","Klassen (Vorgang)","","","Stammdaten","task_class","16","multiple_stop","Nein","task-class","Basiskonfiguration","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Klasse (Vorgangsbuchung)","Klassen (Vorgangsbuchung)","","","Stammdaten","task_booking_class","15","multiple_stop","Nein","task-booking-class","Basiskonfiguration","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Klasse (Vorgangsposition)","Klassen (Vorgangsposition)","","","Stammdaten","task_position_class","17","read_more","Nein","task-position-class","Basiskonfiguration","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Klasse (Zone)","Klassen (Zone)","","","Stammdaten","storage_zone_class","18","mdi-land-plots","Nein","storage-zone-class","Basiskonfiguration","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Klasse (Zuteilung)","Klassen (Zuteilung)","","","Stammdaten","allocation_class","19","mdi-link","Nein","allocation-class","Basiskonfiguration","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Klassifizierungscode","Klassifizierungscodes","","","Stammdaten","hazard_classification_code","11","$plx-classification-codes","Nein","hazard-classification-code","","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Konsignationsbuchung","Konsignationsbuchungen","","","Stammdaten","consignment_booking","3","mdi-stack-overflow","Nein","consignment-booking","Artikelstamm","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Kontaktperson","Kontaktpersonen","","","Stammdaten","contact_person","","mdi-human-queue","Nein","contact-person","Adressestamm","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Kontobuchung","Kontobuchungen","","","Bewegungsdaten","9283_dufhhf","","mdi-account-convert","Nein","","","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Konvertierungseintrag","Konvertierungseinträge","","","Stammdaten","converter_entry","","mdi-dip-switch","Nein","converter-entry","Profil (REST-API)","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Kostenstelle (Abrechnung)","Kostenstellen (Abrechnung)","","","Stammdaten","cost_centre","3","mdi-account-cash","Nein","cost-centre","Buchungskreis Abrechnung","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Ladeliste","Ladeliste","","","Bewegungsdaten","loading_plan","1","mdi-truck-delivery","Nein","loading-plan","Ladung","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Ladeziel","Ladeziele","","","Bewegungsdaten","freight_target","2","mdi-truck-check","Nein","freight-target","Ladung","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Ladung","Ladungen","","","Bewegungsdaten","freight","","$plx-freights","Nein","freight","","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Lagerklasse","Lagerklassen","","","Stammdaten","hazard_storage_class","12","$plx-hazard-storage-classes","Nein","hazard-storage-class","","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Länderkennzeichen","Länderkennzeichen","","","Stammdaten","country_code","","$plx-country-codes","Nein","country-code","","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Layout (Artikeletikett)","Layouts (Artikeletikett)","","","Stammdaten","print_layout_item","13","mdi-barcode","Nein","print-layout-item","Buchungskreis Artikelstamm","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Layout (Auftragsbeleg)","Layouts (Auftragsbeleg)","","","Stammdaten","print_layout_order_note","22","mdi-note-text-outline","Nein","print-layout-order-note","Buchungskreis Auftrag","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Layout (HU-Beleg)","Layouts (HU-Beleg)","","","Stammdaten","print_layout_handling_unit","8","mdi-note-text","Nein","print-layout-handling-unit","Buchungskreis Handling-Unit","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Layout (Inventurbeleg)","Layouts (Inventurbeleg)","","","Stammdaten","layout_stock_taking","","mdi-note-text","Nein","layout-stock-taking","Standort","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Layout (Ladung)","Layouts (Ladung)","","","Stammdaten","print_layout_freight","7","mdi-note-text","Nein","print-layout-freight","Buchungskreis Tour/Ladung","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Layout (Platz-/Ressourcenetikett)","Layouts (Platz-/Ressourcenetikett)","","","Stammdaten","print_layout_location","16","mdi-barcode","Nein","print-layout-location","Buchungskreis Lagertopologie","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Layout (Tourbeleg)","Layouts (Tourbeleg)","","","Stammdaten","print_layout_tour","","mdi-note-text-outline","Nein","print-layout-tour","Buchungskreis Auftrag","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Layout (Vorgangsbeleg)","Layouts (Vorgangsbeleg)","","","Stammdaten","print_layout_task_document","12","mdi-note-text","Nein","print-layout-task-document","Buchungskreis Vorgang","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Logik (Adressvalidierung)","Logiken (Adressvalidierung)","","","Stammdaten","32b82c","","mdi-eye-check-outline","Nein","","Basiskonfiguration","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Logik (Auftragsabgleich)","Logiken (Auftragsabgleich)","","","Stammdaten","order_reconciliation_logics","20","mdi-not-equal-variant","Nein","order-reconciliation-logics","Basiskonfiguration","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Logik (Auftragssortierung)","Logiken (Auftragssortierung)","","","Stammdaten","order_sorting_logic","21","mdi-sort","Nein","order-sorting-logic","Basiskonfiguration","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Logik (HU)","Logiken (HU)","","","Stammdaten","handling_unit_finding_logic","23","mdi-sort","Nein","handling-unit-finding-logic","Basiskonfiguration","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Logik (Lokation)","Logiken (Lokation)","","","Stammdaten","locating_search_logic","24","mdi-sort","Nein","locating-search-logic","Basiskonfiguration","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Logik (Reservierung)","Logiken (Reservierung)","","","Stammdaten","reservation_logic","25","mdi-sort","Nein","reservation-logic","Basiskonfiguration","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Logik (Vorgangspositionssortierung)","Logiken (Vorgangspositionssortierung)","","","Stammdaten","logic_task_position_sorting","","mdi-sort","Nein","logic-task-position-sorting","Basiskonfiguration","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Logik (Vorgangssortierung)","Logiken (Vorgangssortierung)","","","Stammdaten","task_sorting_logic","22","mdi-sort","Nein","task-sorting_logic","Basiskonfiguration","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Lokationsoptimierung (Defragmentieren)","Lokationsoptimierungen (Defragmentieren)","","","Stammdaten","location_reorg_strategy_defragmentation","20","mdi-arrow-collapse-all","Nein","location-reorg-strategy-defragmentation","Standort","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Lokationsoptimierung (Quant-Verdichtung)","Lokationsoptimierungen (Quant-Verdichtung)","","","Stammdaten","location_reorg_strategy_compact_hu","21","mdi-set-merge","Nein","location-reorg-strategy-compact-hu","Standort","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Lokationsoptimierung (Räumen)","Lokationsoptimierungen (Räumen)","","","Stammdaten","location_reorg_strategy_clean_up","19","mdi-arrow-expand-all","Nein","location-reorg-strategy-clean-up","Standort","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Lokationsoptimierung (Zuschütten)","Lokationsoptimierungen (Zuschütten)","","","Stammdaten","location_optimization_backfilling","18","mdi-tray-arrow-down","Nein","location-optimization-backfilling","Standort","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Lokationssperre","Lokationssperre","","","Stammdaten","location_lock","12","mdi-garage-lock","Nein","location-lock","Buchungskreis Lagertopologie","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Lokationssuche","Lokationssuchen","","","Stammdaten","locating_search","2","mdi-map-search-outline","Nein","locating-search","Standort","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Mandant","Mandanten","","","Stammdaten","client","","$plx-clients","Nein","client","","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Matrix (Auftrag)","Matrix (Auftrag)","","","Stammdaten","order_matrix","2","mdi-table-filter","Nein","order-matrix","Buchungskreis Auftrag","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Matrix (Auftragsposition)","Matrix (Auftragsposition)","","","Stammdaten","order_position_matrix","6","mdi-table-filter","Nein","order-position-matrix","Buchungskreis Auftrag","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Matrix (HU-Master)","Matrix (HU-Master)","","","Stammdaten","hu_master_matrix","6","mdi-table-filter","Nein","hu-master-matrix","Buchungskreis Handling-Unit","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
