"Bezeichnung (singular)","Bezeichnung (plural)","Version","Beschreibung","Daten-Profil Typ","Tabellen-Name","Reihenfolge","Symbol","Reorgzeiten konfigurieren","API-Name","Eltern Daten-Profil","Erstellt am","Erstellt von","Geändert am","Geändert von"
"Profil (Freigabe)","Profile (Freigabe)","","","Stammdaten","task_release_profile","7","mdi-movie-open-check-outline","Nein","task-release-profile","Buchungskreis Vorgang","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Profil (Gefahrenprüfung)","Profile (Gefahrenprüfung)","","","Stammdaten","e516ec","","","Nein","","Buchungskreis Artikelstamm","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Profil (GS1)","Profile (GS1)","","","Stammdaten","application_identifier_profile","5","mdi-identifier","Nein","application-identifier-profile","Buchungskreis Adressstamm","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Profil (HU-Master)","Profile (HU-Master)","","","Stammdaten","hu_master_profile","7","mdi-layers-triple","Nein","hu-master-profile","Buchungskreis Handling-Unit","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Profil (Kommissionierung)","Profile (Kommissionierung)","","","Stammdaten","picking_profile","","mdi-cart-variant","Nein","picking-profile","Buchungskreis Auftrag","28.07.2026 14:34:21 Uhr","","04.09.2026 08:38:21 Uhr","Jonathan Schummer"
"Profil (Konsoplatzbelegung)","Profile (Konsoplatzbelegung)","","","Stammdaten","profile_conso_location_allocation","","mdi-arrow-collapse-all","Nein","conso-location-allocation","Buchungskreis Lagertopologie","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Profil (Korrektur)","Profile (Korrektur)","","","Stammdaten","correction_profile","11","mdi-alert-circle-check-outline","Nein","correction-profile","Buchungskreis Vorgang","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Profil (Ladung)","Profile (Ladung)","","","Stammdaten","freight_profile","0","mdi-truck-cargo-container","Ja","freight-profile","Buchungskreis Tour/Ladung","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Profil (Ladungskalkulation)","Profile (Ladungskalkulation)","","","Stammdaten","freight_calculation_profile","5","mdi-calculator","Nein","freight-calculation-profile","Buchungskreis Tour/Ladung","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Profil (Packschema)","Profile (Packschema)","","","Stammdaten","packing_schema","10","mdi-package","Nein","packing-schema","Buchungskreis Artikelstamm","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Profil Pflichtdokument (Unternehmer)","Profile Pflichtdokumente (Unternehmer)","","","Stammdaten","profile_mandatory_documents_transport_operator","7","mdi-file-document-alert-outline","Nein","profile-mandatory-documents-transport-operator","Buchungskreis Disposition","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Profil (Prioritätsoptimierung)","Profile (Prioritätsoptimierung)","","","Stammdaten","45ddf3","9","mdi-priority-high","Nein","","Buchungskreis Vorgang","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Profil (Produktion)","Profile (Produktion)","","","Stammdaten","production_profile","","$plx-production","Nein","production-profile","Buchungskreis Auftrag","28.07.2026 14:34:21 Uhr","","05.08.2026 08:09:58 Uhr","Peter Mürtz"
"Profil (Quant-Gruppierung)","Profile (Quant-Gruppierung)","","","Stammdaten","stock_quant_grouping","25","mdi-ticket-confirmation","Nein","stock-quant-grouping","Buchungskreis Auftrag","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Profil (Quant-Verdichtung)","Profile (Quant-Verdichtung)","","","Stammdaten","stock_quant_compression","13","mdi-ticket-confirmation-outline","Nein","stock-quant-compression","Buchungskreis Lagertopologie","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Profil (REST-API)","Profile (REST-API)","","","Stammdaten","converter_profile","5","mdi-api","Nein","converter-profile","Mandant","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Profil (Retoure)","Profile (Retoure)","","","Stammdaten","return_delivery_profile","10","mdi-arrow-u-down-right","Nein","return-delivery-profile","Buchungskreis Auftrag","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Profil (Sammelliste)","Profil (Sammellisten)","","","Stammdaten","profile_batch","","list","Nein","profile-batch","Buchungskreis Vorgang","28.07.2026 14:34:21 Uhr","","29.07.2026 13:42:54 Uhr","Bente Wittern"
"Profil (Sendung)","Profile (Sendung)","","","Stammdaten","shipment_sub_type","8","mdi-dolly","Nein","shipment-sub-type","Buchungskreis Auftrag","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Profil (Seriennummer)","Profile (Seriennummer)","","","Stammdaten","profile_serial_number","11","mdi-key","Nein","profile-serial-number","Buchungskreis Artikelstamm","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Profil (Tour)","Profile (Tour)","","","Stammdaten","tour_sub_type","9","departure_board","Nein","tour-sub-type","Buchungskreis Auftrag","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Profil (Tourkalkulation)","Profile (Tourkalkulation)","","","Stammdaten","tour_calculation_profile","6","mdi-calculator","Nein","tour-calculation-profile","Buchungskreis Tour/Ladung","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Profil (TransportCart)","Profil (TransportCarts)","","","Stammdaten","transport_carts_profile","6","mdi-dolly","Nein","transport-carts-profile","Standort","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Profil (Transportcartbelegung)","Profile (Transportcartbelegung)","","","Stammdaten","transport_carts_allocation_profile","","mdi-cart-arrow-down","Nein","transport-carts-allocation-profile","Standort","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Profil (Umpacken)","Profile (Umpacken)","","","Stammdaten","repacking_profile","","mdi-window-closed-variant","Nein","repacking-profile","Buchungskreis Lagertopologie","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Profil (Verpackung)","Profile (Verpackung)","","","Stammdaten","packaging_profile","","mdi-package-variant","Nein","packaging-profile","Buchungskreis Auftrag","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Profil (Verpackungsstruktur)","Profile (Verpackungsstruktur)","","","Stammdaten","44b501","17","grading","Nein","","Standort","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Profil (Verteiler)","Profile (Verteiler)","","","Stammdaten","distribution_profile","16","mdi-distribute-horizontal-center","Nein","distribution-profile","Standort","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Profil (Vorgang)","Profile (Vorgang)","","","Stammdaten","task_profile","6","multiple_stop","Nein","task-profile","Buchungskreis Vorgang","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Profil (Waage)","Profile (Waagen)","","","Stammdaten","scale_profile","","mdi-scale","Nein","scale-profile","Standort","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Profil (Wareneingang)","Profile (Wareneingang)","","","Stammdaten","7d86b5","","$plx-movement-inbound","Nein","","Buchungskreis Auftrag","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Profil (Welle)","Profile (Welle)","","","Stammdaten","order_wave_sub_type","0","mdi-waves","Nein","order-wave-sub-type","Buchungskreis Auftragswelle","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Profil (Zollabwicklung)","Profile (Zollabwicklung)","","","Stammdaten","customs_processing_profile","4","mdi-shield-key-outline","Nein","customs-processing-profile","Buchungskreis Zoll","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Profil (Zollbescheid)","Profile (Zollbescheid)","","","Stammdaten","customs_notice_profile","6","mdi-shield-search","Nein","customs-notice-profile","Buchungskreis Zoll","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Profil (Zollstatus)","Profile (Zollstatus)","","","Stammdaten","customs_status_profile","5","mdi-security","Nein","customs-status-profile","Buchungskreis Zoll","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Profil (Zollverfahren)","Profile (Zollverfahren)","","","Stammdaten","customs_procedure_profile","3","mdi-boom-gate-outline","Nein","customs-procedure-profile","Buchungskreis Zoll","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"P-Satz","P-Sätze","","","Stammdaten","p_statements","10","$plx-p-statements","Nein","p-statements","","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Quant","Quanten","","","Bewegungsdaten","stock_quant","","$plx-quants","Nein","stock-quant","","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Rahmentour","Rahmentouren","","","Stammdaten","tour_frame","2","mdi-transit-detour","Nein","tour-frame","Buchungskreis Tour/Ladung","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Referenz","Referenzen","","","Bewegungsdaten","stocktaking_receipt_reference","","mdi-clipboard-text-clock-outline","Nein","stocktaking-receipt-reference","Beleg","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Referenz","Referenzen","","","Bewegungsdaten","handling_unit_reference","3","mdi-clipboard-text-clock-outline","Nein","handling-unit-reference","Handling-Unit","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Referenz","Referenzen","","","Bewegungsdaten","order_position_reference","0","mdi-clipboard-text-clock-outline","Nein","order-position-reference","Position","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Referenz","Referenzen","","","Bewegungsdaten","freight_reference","4","mdi-clipboard-text-clock-outline","Nein","freight-reference","Ladung","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Referenz","Referenzen","","","Bewegungsdaten","task_position_reference","2","mdi-clipboard-text-clock-outline","Nein","task-position-reference","Position","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Referenz","Referenzen","","","Bewegungsdaten","task_reference","3","mdi-clipboard-text-clock-outline","Nein","task-reference","Vorgang","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Referenz","Referenzen","","","Bewegungsdaten","billing_reference","","mdi-clipboard-text-clock-outline","Nein","billing-reference","Abrechnungsprotokoll","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Referenz","Referenzen","","","Bewegungsdaten","order_reference","3","mdi-clipboard-text-clock-outline","Nein","order-reference","Auftrag","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Referenz","Referenzen","","","Bewegungsdaten","stocktaking_receipt_position_reference","1","mdi-clipboard-text-clock-outline","Nein","stocktaking-receipt-position-reference","Position","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Referenz","Referenzen","","","Bewegungsdaten","stocktaking_reference","","mdi-clipboard-text-clock-outline","Nein","stocktaking-reference","Inventur","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Referenz","Referenzen","","","Bewegungsdaten","handling_unit_position_reference","2","mdi-clipboard-text-clock-outline","Nein","handling-unit-position-reference","Position","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Referenz","Referenzen","","","Bewegungsdaten","allocation_reference","0","mdi-clipboard-text-clock-outline","Nein","allocation-reference","Zuteilung","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Regal","Regale","","","Stammdaten","shelve","11","mdi-library-shelves","Nein","shelve","Standort","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Region","Regionen","","","Stammdaten","region","","mdi-land-plots-marker","Nein","region","Länderkennzeichen","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Reservierung","Reservierungen","","","Bewegungsdaten","reservation_hu","0","mdi-link-lock","Nein","reservation-hu","Position","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Ressource","Ressourcen","","","Bewegungsdaten","active_ressources","","mdi-cart-variant","Ja","active_ressources","","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Ressource","Ressourcen","","","Stammdaten","resource","1","mdi-table-furniture","Nein","resource","Standort","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Risikogruppe","Risikogruppen","","","Stammdaten","risk_group","","mdi-asterisk-circle-outline","Nein","risk-group","","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Route","Routen","","","Bewegungsdaten","route_section","","mdi-map-marker-distance","Nein","route-section","Position","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Route","Routen","","","Stammdaten","route","8","mdi-map-marker-distance","Nein","route","Standort","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Routing-Punkt","Routing-Punkte","","","Stammdaten","routing_point","7","room","Nein","routing-point","Standort","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Saldensatz","Saldensätze","","","Stammdaten","17f479","","mdi-scale-unbalanced","Nein","","Bestandskonto","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Saldensatz","Saldensätze","","","Stammdaten","4b52e9","","mdi-bank","Nein","","Partnerkonto","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Schlüssel (Abrechnung)","Schlüssel (Abrechnung)","","","Stammdaten","billing_key","0","mdi-cash","Nein","billing-key","Buchungskreis Abrechnung","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Seriennummer","Seriennummern","","","Bewegungsdaten","order_position_serial_number","4","mdi-key-link","Nein","order-position-serial-number","Position","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Seriennummer","Seriennummern","","","Bewegungsdaten","allocation_serial_number","2","mdi-key-link","Nein","allocation-serial-number","Zuteilung","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Seriennummer","Seriennummern","","","Bewegungsdaten","2e697a","0","mdi-key-link","Nein","","Position","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Seriennummer","Seriennummern","","","Bewegungsdaten","573e5b","","mdi-key-link","Nein","","Bestandsprotokoll","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Seriennummer","Seriennummern","","","Bewegungsdaten","hu_position_serial_number","1","mdi-key-link","Nein","hu-position-serial-number","Position","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Seriennummer","Seriennummern","","","Bewegungsdaten","task_serial_number","1","mdi-key-link","Nein","task-serial-number","Position","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Serviceart","Servicearten","","","Stammdaten","service_sub_type","0","mdi-bookmark-multiple-outline","Nein","service-sub-type","Art (Versand)","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Signalwort","Signalwörter","","","Stammdaten","signal_word","14","$plx-signal-words","Nein","signal-word","","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Soll-Daten (Auftragsmatrix)","Soll-Daten (Auftragsmatrix)","","","Stammdaten","order_matrix_order_structure","0","mdi-compare","Nein","order-matrix-order-structure","Matrix (Auftrag)","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Sortierung","Sortierungen","","","Stammdaten","task_evaluation_sorting","1","mdi-sort","Nein","task-evaluation-sorting","Vorgangseinstufung II","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Sortierung","Sortierungen","","","Stammdaten","locating_search_ordering","0","mdi-sort","Nein","locating-search-ordering","Sortierung (Lokationssuche)","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Sortierung","Sortierungen","","","Stammdaten","order_pool_sorting","0","mdi-sort","Nein","order-pool-sorting","Pool (Auftrag)","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Sortierung","Sortierungen","","","Stammdaten","task_ordering_sorting","1","mdi-sort","Nein","task-ordering-sorting","Sortierung (Vorgang)","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Sortierung","Sortierungen","","","Stammdaten","task_pool_sorting","0","mdi-sort","Nein","task-pool-sorting","Pool (Vorgang)","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Sortierung","Sortierungen","","","Stammdaten","reservation_sorting","1","mdi-sort","Nein","reservation-sorting","Typ (Zuteilung)","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Sortierung (Auftrag)","Sortierungen (Auftrag)","","","Stammdaten","sorting_order_head_wave","","mdi-sort","Nein","sorting-order-head-wave","Profil (Welle)","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Sortierung (Auftrag)","Sortierungen (Auftrag)","","","Stammdaten","sorting_order_head_tour","1","mdi-sort","Nein","sorting-order-head-tour","Profil (Tour)","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Sortierung (Auftrag)","Sortierungen (Auftrag)","","","Stammdaten","order_head_sorting","0","mdi-sort","Nein","order-head-sorting","Profil (Sendung)","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Sortierung/ Limitierung","Sortierungen/ Limitierungen","","","Stammdaten","stocktaking_sort_limiter","","mdi-sort","Nein","stocktaking-sort-limiter","Inventurprofil","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Sortierung (Lokationssuche)","Sortierungen (Lokationssuche)","","","Stammdaten","locating_search_sorting","17","mdi-sort","Nein","locating-search-sorting","Buchungskreis Lagertopologie","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Sortierung (Sendung)","Sortierungen (Sendung)","","","Stammdaten","shipment_sorting","1","mdi-sort","Nein","shipment-sorting","Profil (Sendung)","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Sortierung (Vorgang)","Sortierungen (Vorgang)","","","Stammdaten","task_ordering","2","mdi-sort","Nein","task-ordering","Buchungskreis Vorgang","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Sprache","Sprachen","","","Stammdaten","wmx_language","","$plx-languages","Nein","wmx-language","","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Stamm (Fahrzeug)","Stämme (Fahrzeug)","","","Stammdaten","vehicle_master","0","mdi-truck","Nein","vehicle-master","Stamm (Unternehmer)","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Stamm (HU-Meldung)","Stämme (Meldung)","","","Stammdaten","hu_message","","mdi-alert-circle-outline","Nein","hu-message","Buchungskreis Handling-Unit","04.09.2026 14:13:17 Uhr","Bente Wittern","04.09.2026 15:31:03 Uhr","Bente Wittern"
"Stamm (Meldung)","Stämme (Meldung)","","","Stammdaten","message","10","mdi-alert-circle-outline","Nein","message","Buchungskreis Vorgang","28.07.2026 14:34:21 Uhr","","30.07.2026 16:40:30 Uhr","Bente Wittern"
"Stamm (Prüfplan)","Stämme (Prüfplan)","","","Stammdaten","a890f0","18","mdi-format-list-checkbox","Nein","","Buchungskreis Auftrag","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Stamm (Text)","Stämme (Text)","","","Stammdaten","text_category","13","mdi-text-box-outline","Nein","text-category","Buchungskreis Auftrag","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Stamm (Unternehmer)","Stämme (Unternehmer)","","","Stammdaten","master_transport_operator","0","mdi-account-group","Nein","master-transport-operator","Buchungskreis Disposition","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Stamm (VAS)","Stämme (VAS)","","","Stammdaten","vas_master","16","mdi-shape-plus","Nein","vas-master","Buchungskreis Auftrag","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Stamm (Zustellgrund)","Stämme (Zustellgrund)","","","Stammdaten","b8246a","1","online_prediction","Nein","","Buchungskreis Disposition","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Standort","Standorte","","","Stammdaten","site","","$plx-sites","Nein","site","","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Status (Platz)","Status (Platz)","","","Stammdaten","storage_zone_grid","","mdi-blur-linear","Nein","storage-zone-grid","Zone","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Steuercode (Auftrag)","Steuercodes (Auftrag)","","","Stammdaten","order_control_code","0","mdi-directions-fork","Nein","order-control-code","Buchungskreis Auftrag","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Steuercode (Auftragsposition)","Steuercodes (Auftragsposition)","","","Stammdaten","order_position_control_code","5","mdi-directions-fork","Nein","order-position-control-code","Buchungskreis Auftrag","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Steuercode (Vorgang)","Steuercodes (Vorgang)","","","Stammdaten","task_control_code","0","mdi-directions-fork","Nein","task-control-code","Buchungskreis Vorgang","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Stückliste","Stücklisten","","","Stammdaten","parts_list","4","mdi-clipboard-list-outline","Nein","parts-list","Artikelstamm","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Stücklistenposition","Stücklistenpositionen","","","Stammdaten","parts_list_position","","mdi-table-of-contents","Nein","parts-list-position","Stückliste","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Systemanbindung","Systemanbindungen","","","Stammdaten","system_connection","4","mdi-connection","Nein","system-connection","Mandant","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Tag (Artikelstammanhang)","Tags (Artikelstammanhang)","","","Stammdaten","150883","","mdi-folder-table-outline","Nein","","Buchungskreis Artikelstamm","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Tag (Auftragsanhang)","Tags (Auftragsanhang)","","","Stammdaten","order_attachment_tag","23","mdi-folder-table-outline","Nein","order-attachment-tag","Buchungskreis Auftrag","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Tag (Fahrzeug Anhang)","Tags (Fahrzeug Anhang)","","","Stammdaten","vehicle_attachment_tag","5","mdi-folder-table-outline","Nein","vehicle-attachment-tag","Buchungskreis Disposition","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Tag (HU-Anhang)","Tags (HU-Anhang)","","","Stammdaten","handling_unit_attachment_tag","9","mdi-folder-table-outline","Nein","handling-unit-attachment-tag","Buchungskreis Handling-Unit","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Tag (Ladungsanhang)","Tags (Ladungsanhang)","","","Stammdaten","freight_attachment_tag","8","mdi-folder-table-outline","Nein","freight-attachment-tag","Buchungskreis Tour/Ladung","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Tag (Text)","Tags (Text)","","","Stammdaten","text_tag","15","mdi-tag-text-outline","Nein","tag-text","Buchungskreis Auftrag","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Tag (Tour)","Tags (Tour)","","","Stammdaten","41f52b","","mdi-tag-text-outline","Nein","","Buchungskreis Tour/Ladung","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Tag (Unternehmeranhang)","Tags (Unternehmeranhang)","","","Stammdaten","transport_operator_tags","6","mdi-folder-table-outline","Nein","transport-operator-tag","Buchungskreis Disposition","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Tag (Vorgangsanhang)","Tags (Vorgangsanhang)","","","Stammdaten","task_attachment_tag","13","mdi-folder-table-outline","Nein","task-attachment-tag","Buchungskreis Vorgang","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Text","Texte","","","Bewegungsdaten","order_position_text","1","mdi-text-box-outline","Nein","order-position-text","Position","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Text","Texte","","","Bewegungsdaten","order_text","4","mdi-text-box-outline","Nein","order-text","Auftrag","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Text","Texte","","","Bewegungsdaten","tour_text","","mdi-text-box-outline","Nein","tour-text","Tour","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Tour","Touren","","","Bewegungsdaten","tour","","$plx-tour","Nein","tour","","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Tour Fahrzeuge","Tour Fahrzeuge","","","Bewegungsdaten","tour_vehicles","","","Nein","tour-vehicles","Tour","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Transportkategorie","Transportkategorien","","","Stammdaten","transport_category","15","$plx-hazard-transport-categories","Nein","transport-category","","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Typ (Adresse)","Typen (Adresse)","","","Stammdaten","address_type","2","mdi-folder-account-outline","Nein","address-type","Buchungskreis Adressstamm","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Typ (Auftrag)","Typen (Auftrag)","","","Schema","order_type","5","$plx-type-order","Nein","order-type","Auftrag","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Typ (Beschränkungen)","Typen (Beschränkungen)","","","Stammdaten","restriction_type","4","mdi-traffic-light","Nein","","Buchungskreis Disposition","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Typ (Fach)","Typen (Fach)","","","Stammdaten","compartment_type","7","mdi-focus-field-horizontal","Nein","compartment-type","Buchungskreis Lagertopologie","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Typ (Fahrzeug)","Typen (Fahrzeug)","","","Stammdaten","vehicle_type","2","mdi-truck","Nein","vehicle-type","Buchungskreis Disposition","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Typ (Feld)","Typen (Feld)","","","Stammdaten","storage_field_type","8","mdi-focus-field","Nein","storage-field-type","Buchungskreis Lagertopologie","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Typ (HU)","Typen (HU)","","","Stammdaten","handling_unit_type","1","mdi-package-variant-closed","Nein","handling-unit-type","Buchungskreis Handling-Unit","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Typ (HU-Höhen)","Typen (HU-Höhen)","","","Stammdaten","handling_unit_height_type","2","mdi-arrow-up-down","Nein","handling-unit-height-type","Buchungskreis Handling-Unit","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
"Typ (HU-Identifikation)","Typen (HU-Identifikation)","","","Stammdaten","handling_unit_identification_type","4","mdi-barcode","Nein","handling-unit-identification-type","Buchungskreis Handling-Unit","28.07.2026 14:34:21 Uhr","","28.07.2026 14:34:21 Uhr",""
